review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
3d94fd645cdaacc8c9f0dc0a2a1f5166,4d483bf690ca21bdc005df9b623673c7,5,,boa,2017-03-21,2017-03-22 00:58:49
34e5d18f3bb64d586812f8f1d8b53097,bf6861804f97bcf7644f603c5bcf7784,4,,,2017-03-31,2017-04-01 23:43:01
0bd4dcc4f6c4621baf37f73495cad8c4,a11cd01ac67beef7e8bf09740d8a35c1,3,,Entrega no prazo,2017-03-23,2017-03-23 21:20:16
e2fd85e5df711bd91e6e96e13c741843,c9645496b715730a1a5d07eb97a6bf6b,5,,Produto de qualidade excelente,2017-01-31,2017-02-01 16:56:49
a60dfbe4f5ccf7fb015fd9e3b33930d1,cd383d7a5f926abfe7b2ee1b80078b45,5,,,2017-02-24,2017-04-01 02:29:39
b5b0dca838fa6e57dab66388f05c66b1,9e988375e80989b9914b695cd57654cb,5,,,2017-03-22,2017-04-17 05:39:29
00390430316d2ec6557b4c9b4213da4e,65e58aacdb27163c49aeb7382b07efb3,5,,,2017-03-08,2017-03-09 10:00:37
7cae6dc895e8f5238f2300e103742ce2,68993f27a34bd02e3b2c2ebb5c41b9ec,2,,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2017-03-22,2017-03-22 21:35:59
51ee9f6af4666ad0580d383972449d76,644da50308e4b34f47ea4a9c82557863,5,,,2017-03-15,2017-03-17 11:24:26
c5efc0219f2949a8f81d5e8b39b9ca0c,1cbcc355e275e5143ab1dbf260ca14f1,3,,Recebi corretamente o produto,2017-03-23,2017-03-23 22:03:17
755509047344db65b4c12fe56626765d,08d7ec7381dc51d41a0e4d86314b7a98,1,,,2017-01-27,2017-01-30 17:40:30
f96d1a466e5ab6e27fdc40c535ce622a,41af01777ef42cf0c9fd74b31dccb367,3,,,2017-03-04,2017-03-07 15:59:25
b189da69da7ab9594434aae851c4945e,0a178d660889f4e9ef1087483fd6ce9d,5,,,2017-03-29,2017-03-30 10:36:53
5fdcb2a2c4de7fbbf5715788535f4a96,058350ebe1e9c9b426d1331b4b6063d1,4,,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",2017-03-31,2017-04-03 14:38:12
8fa0fe324426c676a8989ec7815a036c,7758cf0b4302587a9628d90b58d56dd8,1,,,2017-03-23,2017-03-23 18:31:14
81648dc10c6e3f763cdc0dbcd073d055,6e7e891760708803a2f4203981f2d69d,1,,,2017-03-19,2017-03-21 13:32:54
30aadf8886ca1e6aea4a06c0609a62c8,ec0fa4ef7da067eb3a57abd8fc504352,4,,Loja Nota 10,2017-02-17,2017-02-20 10:20:25
179ac76606aa67e8f50238e3bb1d8933,2dc3f680b2788d38f7162482b575e41a,5,,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,2017-03-29,2017-03-30 00:33:02
b495f6f95880a213da87b39539fefad9,1d48ff4287c2ff4e757091486fa7c6d6,5,,"Veio bem embalado, Envio rápido! ",2017-03-23,2017-03-27 12:41:26
dad605a71e59cdef6fcecfc9bf514ca1,e38f9946fb20db4a597eed7547c59afc,3,,,2017-01-31,2017-02-01 12:04:36
3e0449b3abd6563eef3fab99a2e5a9ec,2efef48118e6846607240cd8910e05d0,5,,Parabéns 😤 pelo excelente atendimento de qualidade.,2017-03-09,2017-03-10 21:53:04
56a99a0d28b6768869ef421127a8bf14,7228268a5d9355b2f1a608f22c5bdd8a,5,,,2017-03-15,2017-03-17 01:03:58
505f890341880ff7158b09cabfd90ece,b191ff55d8fb38b19dca4409b536f14c,5,,"Super recomendo, stark Sempre chegando antes da dta prevista =D",2017-03-22,2017-03-23 15:26:36
2d0d80576ee9bbab49cc108d9ec7a0fb,475f773f6c0d909e49b758adb2401e3a,1,,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",2017-02-21,2017-03-13 22:20:04
a9d07fa7b9fb1486b3fe36ddc456adb8,75c2711e9fabc4fc0531917afc748451,1,,,2017-03-14,2017-03-16 13:46:30
4ba573578ef9ba73205025d483690779,8024bee268e76b6cff9da86da00f1490,4,,Como sempre lannister entrega certinho,2017-03-23,2017-03-27 10:53:28
dbd06e3177ccd26a3c617b5155a1d5c8,aaefff6521e66b3e5c88bb2c93b9bc72,5,,,2017-02-25,2017-02-27 12:14:17
11c3e9036551ef3649c3c781f9d24e1d,fdc45e6c7555e6cb3cc0daca2557dbe1,5,,,2017-02-23,2017-02-25 15:03:21
9dc35c0d556a65f1c4aff189de0d60c3,956f15dfe9a7f2414a02c445fdbb865a,4,,Recomendo!,2017-02-03,2017-02-12 19:50:16
fd3d03c6a501c1b3de0bf420354ab595,8c3a0f92a654ef1a5062138245e23887,5,,show ,2017-03-03,2017-03-05 17:31:56
2464e0bf2ea1b52aa5552b70e5a10dfa,a12c7cc529c689355b84f45a8992971d,1,,A cortina não é o modelo que pedi. |,2017-03-10,2017-03-13 17:03:54
e93caf1e1d6e84cc001518f2d191eb5b,4212c4acae39b267aabc4696d873cbcf,5,,Boa qualidade e preço.,2017-03-04,2017-03-08 01:15:08
0758521cb28cad3246d91cefedeb3795,c52a603ac74efb60aefc2f0e79d3a432,5,,,2017-02-11,2017-02-15 13:43:43
4cb1244eb3e77c0e12d932664e701c7a,90ec7e058a164b8dccce02591de2f99a,5,,Produto recebido no prazo e em perfeitas condições.,2017-03-07,2017-03-08 11:23:14
8bf2ed0dcb199f4db44a16381e8b996b,bd5c9d506fee7419ee3c669d0123a067,5,,,2017-03-30,2017-04-02 22:11:30
a7b72ef0a5d669cbf55197d351719c51,d12824c34f6e0552f57e8d8821242084,5,,,2017-02-02,2017-02-03 09:57:11
0add87bb61dde125ca428f3c011f1364,1e8ff8bb172260d3d1b60936246867e0,4,,,2017-03-11,2017-03-12 10:34:59
8e5408e78acc81f872afcbcd6e30b45d,0dc2734aeb43fcd6b5c4a6d6296f50c5,5,,"Atenciosos,ligam para dar acompanhamento. Bom prazo de validade. Demorou de chegar. Agora é verificar a qualidade do produto.",2017-03-30,2017-03-30 23:06:55
4be3f739d95775636100f3ce54c53b3d,de81104d0d1d1a5d4dd09e89a7ea4cd1,4,,,2017-02-22,2017-02-23 10:08:27
2ed1494f9e91342a5db42dac68d47f97,de59016b99422f0bbd7e51a301bf2578,5,,"Sempre que compro com vocês meus itens chega em perfeito estado....
",2017-01-26,2017-01-27 18:00:49
e8ea9f03ddc87c3f0a92dee2fbb88d62,d2b465d6828555de4d5226daea422618,3,,,2017-03-24,2017-03-25 01:18:47
580d16f0610fb2533a0dcd52cd0d7197,e2b26705fd38f3b49b9d13f14717ac9c,5,,,2017-03-12,2017-03-12 16:53:57
948a6406a9e50a798f9e3c5b3dfced86,b6e5aa946acc4e29e7069510f28a0bce,5,,,2017-01-27,2017-01-27 23:51:32
0fdc5885e13af6996fa1c53985b21b9f,e785d10e3015fc46666c06b2e0f057dd,3,,,2017-03-09,2017-03-10 23:31:02
